symbol,bias,zone,price,bars_ago,displ_ATR,dist%,respect%,n_test
LAB/USDT:USDT,haussier,12.622–13.6565,13.7635,3,2.2,0.78,57.1,56
龙虾/USDT:USDT,haussier,0.017238–0.017498,0.018625,3,2.06,6.05,58.5,53
AAVE/USDT:USDT,haussier,74.26–75.39,76.39,4,2.28,1.31,47.6,42
SUI/USDT:USDT,haussier,0.7836–0.7949,0.8074,4,2.21,1.55,51.2,43
FIL/USDT:USDT,haussier,0.7839–0.7999,0.8151,4,2.84,1.86,42.6,47
WLD/USDT:USDT,haussier,0.6385–0.6543,0.6907,4,2.81,5.27,40.4,47
TIA/USDT:USDT,haussier,0.3745–0.3791,0.4112,4,3.73,7.81,45.8,48
BTC/USDT:USDT,baissier,66341.5–66455.9,65891.1,5,2.1,0.68,46.7,45
INJ/USDT:USDT,baissier,5.808–6.018,5.628,5,2.58,3.2,39.5,43
BNB/USDT:USDT,baissier,614.82–615.4,608.9,6,2.48,0.97,55.1,49
RENDER/USDT:USDT,baissier,1.7844–1.796,1.7575,6,2.14,1.53,48.9,45
NEAR/USDT:USDT,baissier,2.3965–2.4501,2.3304,6,2.02,2.84,51.1,47
JTO/USDT:USDT,haussier,0.7239–0.7532,0.7842,6,3.35,3.95,42.3,52
ZEC/USDT:USDT,baissier,518.79–528.32,515.65,7,2.34,0.61,37.8,45
AAVE/USDT:USDT,haussier,73.63–73.71,76.39,7,2.05,3.51,47.6,42
AERO/USDT:USDT,haussier,0.4234–0.4274,0.4859,7,6.38,12.04,46.2,52
BEAT/USDT:USDT,baissier,3.9877–4.02533,2.2289,7,2.25,78.91,38.5,52
HYPE/USDT:USDT,haussier,66.873–67.139,74.627,8,5.59,10.03,32.6,46
BSB/USDT:USDT,haussier,0.3619–0.36703,0.48144,8,5.52,23.76,37.2,43
SPX/USDT:USDT,haussier,0.3402–0.3412,0.4786,8,6.43,28.71,55.2,58
