symbol,txn_vol,bias,zone,price,bars_ago,displ_ATR,dist%,respect%,n_test
USAR/USDT:USDT,10.7M,haussier,21.69–21.77,22.36,4,2.11,2.64,72.0,25
SAMSUNG/USDT:USDT,3.1M,haussier,217.19–219.05,225.92,5,2.88,3.04,50.0,12
DRAM/USDT:USDT,25.9M,haussier,68.17–68.88,71.42,5,2.29,3.56,44.0,25
ASTS/USDT:USDT,4.7M,haussier,82.36–83.49,86.58,5,2.53,3.57,51.9,27
SKHYNIX/USDT:USDT,16.7M,haussier,1525.89–1560.47,1649.57,5,3.37,5.4,42.9,14
GOOGL/USDT:USDT,5.2M,haussier,369.32–369.44,371.37,7,2.95,0.52,54.5,66
QQQ/USDT:USDT,8.1M,baissier,744.06–746.72,735.5,7,4.4,1.16,56.7,67
NVDA/USDT:USDT,5.6M,baissier,211.55–212.39,208.65,7,3.04,1.39,53.7,67
QCOM/USDT:USDT,14.8M,baissier,222.4–231.41,218.74,7,4.57,1.67,61.1,18
CBRS/USDT:USDT,37.8M,baissier,218.64–220.22,214.38,7,4.15,1.99,65.2,23
NBIS/USDT:USDT,14.9M,haussier,258.95–260.88,266.74,7,3.45,2.2,63.4,41
SNDK/USDT:USDT,58.6M,baissier,2106.82–2149.32,2056.93,7,4.96,2.43,62.7,51
MU/USDT:USDT,79.8M,baissier,1084.61–1122.7,1056.51,7,5.26,2.66,62.1,58
IREN/USDT:USDT,3.7M,baissier,60.678–60.807,58.926,7,2.58,2.97,33.3,3
USAR/USDT:USDT,10.7M,baissier,23.09–23.27,22.36,7,4.92,3.26,72.0,25
TQQQ/USDT:USDT,3.7M,baissier,84.41–85.28,81.4,7,5.69,3.7,61.4,57
QNTSTOCK/USDT:USDT,7.2M,baissier,58.321–58.974,56.065,7,3.41,4.02,41.7,12
INTC/USDT:USDT,22.4M,baissier,126.35–126.61,121.43,7,4.27,4.05,67.2,61
RKLB/USDT:USDT,58.8M,baissier,109.14–110.48,104.81,7,3.5,4.13,58.5,53
AMD/USDT:USDT,4.0M,baissier,546.03–552.22,522.44,7,5.59,4.52,60.8,51
